GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SpringProject,com.project.application.aop,LoggingAspect,12,8,0,0,6,2,4,1,4,1
SpringProject,com.project.application.controller,EmployeeController,99,3,4,0,27,1,8,1,6,1
SpringProject,com.project.application.controller,HomeController,109,3,0,0,26,1,5,1,5,1
SpringProject,com.project.application.controller,TicketController,129,3,0,0,33,1,7,1,7,1
SpringProject,com.project.application.controller,RegistrationController,153,3,0,0,33,1,4,1,4,1
SpringProject,com.project.application.controller,ManagerController,108,3,4,0,29,1,8,1,6,1
SpringProject,com.project.application.dto,NewManager,20,0,0,0,9,0,5,0,5,0
SpringProject,com.project.application.dto,UserDTO,92,0,0,0,33,0,17,0,17,0
SpringProject,com.project.application.entity.id,AuthorityId,20,12,0,0,8,5,5,2,5,2
SpringProject,com.project.application,SpringBootApplication,5,3,0,0,2,1,1,1,1,1
SpringProject,com.project.application.config,SecurityConfiguration,0,51,0,0,0,14,0,3,0,3
SpringProject,com.project.application.config,MySpringMvcDispatcherServletInitializer,20,0,0,0,4,0,4,0,4,0
SpringProject,com.project.application.config,AppConfiguration,6,139,0,0,2,30,0,6,0,6
SpringProject,com.project.application.service,UserServiceImplementation,0,133,1,7,0,32,1,14,0,11
SpringProject,com.project.application.service,UserDetailServiceImplementation,0,25,0,0,0,7,0,5,0,5
SpringProject,com.project.application.service,AuthorityServiceImplementation,3,77,1,1,1,21,1,11,0,11
SpringProject,com.project.application.service,TicketServiceImplementation,0,64,1,1,0,18,1,8,0,8
SpringProject,com.project.application.entity,Authority,11,9,0,0,5,4,3,2,3,2
SpringProject,com.project.application.entity,Ticket,41,27,0,0,14,11,9,4,9,4
SpringProject,com.project.application.entity,User,77,48,13,1,17,9,16,4,9,4
SpringProject,com.project.application.entity,UserDetail,47,21,0,0,17,9,9,3,9,3
